prof_id,rec_id,x,y,cds2d,shore_bath,cds3d_1,slopd_1
1,1,740405.7559,3466968.472,0,-408.3150611,0,-1.248079199
1,2,740404.2342,3466970.103,2.230742617,-408.3636612,2.231271969,-1.660627193
1,3,740401.2114,3466971.699,5.648999068,-408.4627617,5.650964655,-0.693220088
1,4,740400.0191,3466971.387,6.881468958,-408.4776741,6.883524758,-0.476058993
1,5,740397.9502,3466970.57,9.106040768,-408.496158,9.108173358,-0.207947331
1,6,740396.1002,3466969.4,11.29479284,-408.5041018,11.29693985,-0.549435001
1,7,740393.7475,3466968.191,13.93996578,-408.5294684,13.94223441,-0.971698616
1,8,740391.7364,3466968.034,15.95712897,-408.5636814,15.95968772,-1.664308269
1,9,740390.512,3466968.308,17.2117077,-408.6001342,17.21479593,-1.596606548
1,10,740389.8234,3466969.949,18.99175132,-408.6497498,18.99553089,-1.204967556
1,11,740390.1259,3466971.504,20.57564714,-408.6830651,20.57977704,-0.557039879
1,12,740391.693,3466974.196,23.69093032,-408.7133534,23.69520745,-0.517807488
1,13,740393.3819,3466976.379,26.45055526,-408.7382941,26.4549451,-1.416054426
1,14,740393.5481,3466978.278,28.35736788,-408.7854302,28.36234023,-1.745675358
1,15,740393.1826,3466979.808,29.93037769,-408.8333711,29.93608042,-1.854116256
1,16,740390.7235,3466981.188,32.7503631,-408.9246589,32.75754301,-1.226583132
1,17,740388.9458,3466980.845,34.56103337,-408.9634275,34.56862828,-0.927832258
1,18,740387.6564,3466980.375,35.93335359,-408.9856525,35.94112845,-1.971863684
1,19,740386.4464,3466980.814,37.22038368,-409.0299638,37.22892112,-1.531416776
1,20,740386.4412,3466984.559,40.96581368,-409.1300964,40.97568938,0.205447953
1,21,740387.8783,3466985.765,42.84173734,-409.1233698,42.8516251,-0.404333147
1,22,740388.9313,3466987.337,44.73407679,-409.1367242,44.74401167,-1.480291077
1,23,740388.9715,3466988.748,46.1458963,-409.173208,46.15630251,-2.085647907
1,24,740387.8235,3466990.846,48.53723914,-409.2602948,48.54923057,-2.122162199
1,25,740383.7095,3466993.287,53.32064332,-409.437547,53.33591772,-2.12197075
1,26,740382.3633,3466994.07,54.87828491,-409.4952612,54.89462816,-2.185144389
1,27,740381.9183,3466994.692,55.64263029,-409.5244259,55.65952975,-2.168029807
1,28,740380.7207,3466998.125,59.27912295,-409.6620938,59.29862735,-2.149263114
1,29,740379.932,3467000.525,61.80466247,-409.7568756,61.82594479,-2.341813258
1,30,740377.8827,3467002.784,64.85529231,-409.8816315,64.87912452,-2.140411232
1,31,740376.522,3467003.403,66.34988158,-409.9374912,66.3747573,-1.984436032
1,32,740375.3049,3467003.759,67.61808264,-409.9814328,67.64371939,-1.780812278
1,33,740373.6603,3467003.986,69.2782519,-410.0330493,69.30469085,-2.319634333
1,34,740372.4256,3467005.093,70.93634983,-410.1002145,70.96414857,-2.114085987
1,35,740372.2965,3467005.52,71.38280636,-410.1166952,71.41090919,-1.068953354
1,36,740372.728,3467006.647,72.58991987,-410.1392186,72.61823281,-1.815113788
1,37,740372.5157,3467010.879,76.82638442,-410.2734735,76.85682412,-2.25498747
1,38,740370.5211,3467014.715,81.15017482,-410.4437327,81.18396539,-2.214244578
1,39,740369.8253,3467016.274,82.85729112,-410.5097385,82.89235728,-2.147122093
1,40,740368.893,3467018.935,85.67727653,-410.6154651,85.71432394,-2.339009886
1,41,740367.1669,3467021.083,88.43316299,-410.7280324,88.4725084,-2.15908852
1,42,740366.4318,3467023.145,90.62191506,-410.8105506,90.66281543,-1.867693989
1,43,740366.0498,3467027.34,94.83377755,-410.9478951,94.87691666,-1.91857008
1,44,740365.9496,3467028.097,95.59812292,-410.9734991,95.64169075,-1.598124728
1,45,740366.1375,3467030.245,97.75365023,-411.0336378,97.79805683,-1.94890214
1,46,740365.8691,3467031.933,99.46277846,-411.0917958,99.50817426,-2.259475281
1,47,740364.6343,3467033.039,101.1208764,-411.1572173,101.1675623,-2.086371918
1,48,740362.4013,3467034.15,103.6149225,-411.2480758,103.6632628,-2.0557105
1,49,740360.8827,3467034.865,105.2936187,-411.3083314,105.3430401,-2.128072043
1,50,740359.9897,3467037.024,107.6297133,-411.3951383,107.680747,-1.565281471
1,51,740360.0619,3467037.85,108.4587623,-411.417793,108.5101055,-1.845441551
1,52,740359.8296,3467039.951,110.5724307,-411.4858957,110.6248707,-1.804092614
1,53,740359.3239,3467045.222,115.8679597,-411.6526931,115.923026,-1.741735072
1,54,740358.9409,3467047.503,118.1803971,-411.7230105,118.2365322,-1.939157919
1,55,740357.3541,3467048.391,119.9986434,-411.784572,120.0558204,-0.868443474
1,56,740356.4994,3467048.132,120.8915565,-411.7981071,120.9488361,-1.136468657
1,57,740355.0664,3467047.925,122.3394283,-411.8268296,122.3969927,-1.884772116
1,58,740353.6304,3467048.633,123.9405878,-411.8795195,123.9990189,-1.938793595
1,59,740352.4215,3467050.986,126.5857607,-411.9690619,126.645707,-1.360255376
1,60,740352.5515,3467052.472,128.0780488,-412.0044969,128.1384158,-1.362541383
1,61,740352.6455,3467053.546,129.1558125,-412.0301318,129.2164843,-1.364753634
1,62,740352.7683,3467054.95,130.5651957,-412.0637089,130.6262674,-1.490581589
1,63,740352.759,3467057.697,133.3123393,-412.1351935,133.3743409,-1.835466327
1,64,740352.2211,3467059.159,134.8699809,-412.1851095,134.932782,-1.944991659
1,65,740351.0762,3467060.341,136.5155961,-412.2409939,136.5793459,-1.740735459
1,66,740349.3924,3467061.071,138.3507742,-412.2967666,138.4153713,-1.870994066
1,67,740346.6607,3467063.141,141.778067,-412.4087247,141.8444923,-1.709765536
1,68,740344.8809,3467065.627,144.8354485,-412.4999872,144.9032356,-1.614854715
1,69,740343.3344,3467067.926,147.6062587,-412.5781019,147.6751466,-1.408593864
1,70,740341.7621,3467068.979,149.4985981,-412.6246337,149.5680581,-1.178039684
1,71,740340.3077,3467072.918,153.6980612,-412.7109896,153.768409,-0.879483339
1,72,740340.4955,3467075.066,155.8535885,-412.7440793,155.9241903,-0.715361316
1,73,740341.819,3467078.778,159.7948423,-412.7932901,159.8657513,-1.040018078
1,74,740340.8268,3467083.609,164.7261159,-412.8828111,164.7978373,-0.985624401
1,75,740339.6355,3467085.211,166.7227302,-412.917161,166.7947471,-0.775322511
1,76,740338.0559,3467086.181,168.57654,-412.9422482,168.6487267,-0.725340632
1,77,740334.9041,3467088.205,172.32197,-412.9896663,172.3944568,-0.701295996
1,78,740333.1883,3467089.52,174.4838652,-413.016129,174.556514,
2,1,740689.0226,3467159.669,0,-409.6310612,0,-2.290667377
2,2,740686.7194,3467163.782,4.713928963,-409.819623,4.717698788,-1.571195665
2,3,740684.8921,3467164.774,6.793173189,-409.8766555,6.79772505,-0.718159339
