prof_id,cds2d,DSM_2016_r,bathymetry,DSM16-bath,bathymetry_new
1,0,-410.412756,-408.0582245,-1.383603487,-409.4418279
1,23,-412.6828055,-408.5882921,-3.105495513,-411.6937876
1,46,-413.379329,-409.374535,-3.611804689,-412.9863397
1,46.67542929,-413.386262,-409.4002928,-3.614066769,-413.0143596
1,69.67542929,-413.7940405,-410.3047409,-3.21294193,-413.5176829
1,92.67542929,-414.5905291,-411.2049003,-2.97145814,-414.1763584
1,115.6754293,-415.3882207,-412.0328587,-2.939719292,-414.972578
1,138.6754293,-416.3985956,-412.7236103,-3.190909577,-415.9145199
1,161.6754293,-417.1284738,-413.103835,-3.553366217,-416.6572012
1,184.6754293,-417.6163664,-413.4029163,-4.091275715,-417.4941921
1,207.6754293,-418.3293243,-414.1427148,-3.773878617,-417.9165934
1,230.6754293,-418.9584813,-415.1283923,-3.604104009,-418.7324963
1,253.6754293,-419.6882665,-416.2159313,-3.110281331,-419.3262126
1,270.9627399,-420.0655857,-417.0241107,-2.761217606,-419.7853283
1,293.9627399,-420.6205476,-417.841076,-2.557271799,-420.3983478
1,316.9627399,-421.109093,-418.8811572,-2.121570938,-421.0027282
1,339.9627399,-421.6982714,-419.6454465,-1.926278933,-421.5717254
1,353.6069412,-421.9800365,-419.9245557,-2.009951384,-421.9345071
1,376.6069412,-422.5831461,-420.4489358,-2.05327918,-422.502215
1,399.6069412,-423.221027,-421.0398274,-2.11118789,-423.1510153
1,422.6069412,-423.9588347,-421.636565,-2.223277304,-423.8598423
1,445.6069412,-424.6293951,-422.0773889,-2.453675618,-424.5310645
1,468.6069412,-425.1865394,-422.2324898,-2.85162304,-425.0841129
1,491.6069412,-425.690648,-423.0111928,-2.528536301,-425.5397291
1,512.2875797,-426.0947467,-423.7285385,-2.193491929,-425.9220305
1,535.2875797,-426.475775,-424.2803251,-2.051864886,-426.33219
1,558.2875797,-426.8876344,-425.1301503,-1.552776985,-426.6829273
1,579.5451639,-427.2903292,-425.9275945,-1.172931902,-427.1005264
2,0,-409.8348738,-409.1060372,-0.9777082,-410.0837454
2,23,-411.3324137,-409.9462313,-1.424361899,-411.3705931
2,46,-412.3243245,-410.7421415,-1.51547805,-412.2576195
2,66.85558062,-413.0120144,-411.4179158,-1.507068425,-412.9249842
2,89.85558062,-413.8305105,-412.0986646,-1.618894819,-413.7175594
2,112.8555806,-414.7043642,-412.663415,-1.853276803,-414.5166918
2,135.8555806,-415.5284018,-413.0450622,-2.276225636,-415.3212879
2,138.6951182,-415.6139682,-413.0641014,-2.357282685,-415.4213841
2,161.6951182,-416.4186693,-413.3353595,-2.909915347,-416.2452749
2,184.6951182,-417.2287154,-414.0657104,-3.081621391,-417.1473318
2,207.6951182,-418.0478013,-415.0856849,-2.882253504,-417.9679384
2,230.6951182,-418.7887773,-416.1991086,-2.511827025,-418.7109356
2,253.6951182,-419.4342753,-417.2876986,-2.135364505,-419.4230632
2,276.6951182,-420.1209797,-417.5303805,-2.47393909,-420.0043196
2,289.8805868,-420.5508723,-417.7425584,-2.66652974,-420.4090882
2,312.8805868,-421.0930781,-418.5433064,-2.310481352,-420.8537877
2,335.8805868,-421.4926093,-419.4933223,-1.865027247,-421.3583496
2,358.8805868,-421.9745619,-419.7234884,-2.194099318,-421.9175877
