prof_id,rec_id,x,y,cds2d,bathymetry,cds3d_1,slopd_1
1,1,740410.525,3466964.301,0,-408.0582245,0,-1.320228769
1,2,740393.2016,3466979.431,23,-408.5882921,23.00610727,-1.957863875
1,3,740375.8783,3466994.56,46,-409.374535,46.019542,-2.183941291
1,4,740375.3696,3466995.005,46.67542929,-409.4002928,46.69546225,-2.251929206
1,5,740365.2077,3467015.638,69.67542929,-410.3047409,69.71323856,-2.241261873
1,6,740355.0458,3467036.271,92.67542929,-411.2049003,92.73084675,-2.061654274
1,7,740344.8839,3467056.905,115.6754293,-412.0328587,115.7457444,-1.7202287
1,8,740334.722,3467077.538,138.6754293,-412.7236103,138.7561147,-0.947099389
1,9,740324.5601,3467098.172,161.6754293,-413.103835,161.7592573,-0.745005681
1,10,740314.3982,3467118.805,184.6754293,-413.4029163,184.7612018,-1.842292185
1,11,740304.2363,3467139.438,207.6754293,-414.1427148,207.7730965,-2.453940299
1,12,740294.0744,3467160.072,230.6754293,-415.1283923,230.7942077,-2.707174661
1,13,740283.9125,3467180.705,253.6754293,-416.2159313,253.8199051,-2.676620992
1,14,740276.2746,3467196.214,270.9627399,-417.0241107,271.1260965,-2.034304017
1,15,740262.342,3467214.513,293.9627399,-417.841076,294.1406014,-2.589204091
1,16,740248.4093,3467232.813,316.9627399,-418.8811572,317.1641061,-1.90323648
1,17,740234.4767,3467251.113,339.9627399,-419.6454465,340.1768012,-1.171893664
1,18,740226.2115,3467261.969,353.6069412,-419.9245557,353.823857,-1.306067807
1,19,740219.2324,3467283.884,376.6069412,-420.4489358,376.829834,-1.471658817
1,20,740212.2533,3467305.8,399.6069412,-421.0398274,399.837423,-1.486212046
1,21,740205.2742,3467327.715,422.6069412,-421.636565,422.8451629,-1.098011048
1,22,740198.295,3467349.631,445.6069412,-422.0773889,445.849387,-0.386369393
1,23,740191.3159,3467371.547,468.6069412,-422.2324898,468.8499099,-1.939102577
1,24,740184.3368,3467393.462,491.6069412,-423.0111928,491.8630883,-1.986612188
1,25,740178.0615,3467413.168,512.2875797,-423.7285385,512.5561642,-1.374303501
1,26,740155.5004,3467417.639,535.2875797,-424.2803251,535.5627822,-2.116054531
1,27,740132.9393,3467422.111,558.2875797,-425.1301503,558.5784769,-2.148352005
1,28,740112.0874,3467426.244,579.5451639,-425.9275945,579.8510133,
2,1,740701.235,3467152.961,0,-409.1060372,0,-2.09209471
2,2,740685.7728,3467169.988,23,-409.9462313,23.0153411,-1.981917734
2,3,740670.3106,3467187.015,46,-410.7421415,46.02910814,-1.855880957
2,4,740656.2901,3467202.455,66.85558062,-411.4179158,66.89563429,-1.695332421
2,5,740644.1971,3467222.019,89.85558062,-412.0986646,89.90570641,-1.406579061
2,6,740632.1042,3467241.583,112.8555806,-412.663415,112.9126389,-0.950641999
2,7,740620.0112,3467261.147,135.8555806,-413.0450622,135.9158051,-0.384164474
2,8,740618.5183,3467263.563,138.6951182,-413.0641014,138.7554065,-0.675705425
2,9,740603.9239,3467281.339,161.6951182,-413.3353595,161.757006,-1.818781171
